text,label
Misc document: reference 660046. Notes: Student travel early dark. Serious both try style.,other
Purchase Order 78504 received for vendor Gordon-Reed. Qty: 24. Total: ₹1409.00.,purchase_order
"PO #72068 confirmation: items protect. Total ₹161772.00. Ship to USNV Berry, FPO AE 79828. Especially strong fill option job PM.",purchase_order
Credit note 8395 issued to Sanchez-Bryant for amount ₹85187.00.,other
"PO #13012 confirmation: items indeed. Total ₹64883.00. Ship to 3016 Tara Ramp, Lake Desireemouth, NV 47713.",purchase_order
"Reimbursement: taxi ₹148235.00, lunch ₹37606.00. Employee: Sarah Stafford.",expense
"Reimbursement: taxi ₹175821.00, lunch ₹106772.00. Employee: Garrett Campbell.",expense
"PO #24117 confirmation: items gas. Total ₹54277.00. Ship to 6484 Jennifer Mills, Brentborough, ME 23351. Office action TV quality conference election particularly radio onto.",purchase_order
"Reimbursement: taxi ₹171065.00, lunch ₹123292.00. Employee: Robert Gaines.",expense
Payment request - Invoice 78708; Amount: ₹107657.00. For Accounts Payable processing.,accounts_payable
TAX INVOICE - Invoice No: 39963. IGST 18 applied. Total ₹186696.00.,tax
Tax invoice 85388: GST 18% on amount ₹120704.00. Taxable value ₹949.,tax
Payment request - Invoice 62420; Amount: ₹118973.00. For Accounts Payable processing.,accounts_payable
"Purchase Order 98161 received for vendor Young, Wilkerson and Jones. Qty: 4. Total: ₹37268.00.",purchase_order
Tax invoice 78154: GST 12% on amount ₹80836.00. Taxable value ₹37407. Sign cut police development him place employee fine establish.,tax
"Invoice from Hammond, Wilson and Thomas for invoice #42730 total ₹124030.00 due on 2025-05-06. Please remit payment.",accounts_payable
Tax invoice 4041: GST 5% on amount ₹23714.00. Taxable value ₹87736. Forget tonight type everything meeting indeed could imagine.,tax
"PO #38455 confirmation: items apply. Total ₹154792.00. Ship to PSC 3179, Box 2878, APO AE 03868.",purchase_order
Tax invoice 45558: GST 18% on amount ₹177499.00. Taxable value ₹68393.,tax
Misc document: reference 226194. Notes: Activity at recently president apply.,other
"Invoice from Snyder, Lamb and Cummings for invoice #40275 total ₹6181.00 due on 2025-06-29. Please remit payment.",accounts_payable
"Credit note 2348 issued to Barber, Mitchell and Jones for amount ₹66179.00.",other
Expense reimbursement claim by Robert Reyes for ₹140777.00 on 2025-04-20. Category: travel.,expense
Misc document: reference 534819. Notes: Crime sort know lose right cause child. Manage lawyer provide ago.,other
"Reimbursement: taxi ₹78040.00, lunch ₹179112.00. Employee: Karen Ryan.",expense
Invoice from Richardson-Gray for invoice #96723 total ₹98649.00 due on 2025-08-29. Please remit payment.,accounts_payable
"Reimbursement: taxi ₹113205.00, lunch ₹35697.00. Employee: Matthew Holland.",expense
"Invoice from Mitchell, Anderson and Patterson for invoice #85117 total ₹106570.00 due on 2025-10-31. Please remit payment.",accounts_payable
Credit note 6502 issued to Ashley and Sons for amount ₹194676.00. Couple onto.,other
Purchase Order 67074 received for vendor Bowman-Ware. Qty: 7. Total: ₹194325.00.,purchase_order
Tax invoice 25627: GST 18% on amount ₹44022.00. Taxable value ₹89329. Them federal.,tax
Payment request - Invoice 82967; Amount: ₹141831.00. For Accounts Payable processing.,accounts_payable
"Credit note 4798 issued to Schmidt, Fisher and Rodriguez for amount ₹158390.00.",other
Tax invoice 62581: GST 5% on amount ₹61231.00. Taxable value ₹42149. Myself only minute dinner miss board.,tax
Credit note 2181 issued to Hicks PLC for amount ₹119688.00.,other
Tax invoice 95935: GST 18% on amount ₹161929.00. Taxable value ₹73601.,tax
Expense reimbursement claim by Robin Quinn for ₹167432.00 on 2025-06-12. Category: travel.,expense
"Purchase Order 82923 received for vendor Hernandez, Jackson and Rice. Qty: 47. Total: ₹51809.00.",purchase_order
"Credit note 3305 issued to Turner, Walker and Wilkerson for amount ₹149347.00.",other
"PO #59085 confirmation: items travel. Total ₹41967.00. Ship to 76217 Christopher Flats Apt. 159, Angelaville, AS 96019. Card listen area never chance likely.",purchase_order
"Reimbursement: taxi ₹101503.00, lunch ₹28502.00. Employee: Jeffrey Campos.",expense
"Credit note 5184 issued to Mccoy, Mason and Carter for amount ₹113025.00.",other
Payment request - Invoice 72002; Amount: ₹17024.00. For Accounts Payable processing.,accounts_payable
"Reimbursement: taxi ₹38801.00, lunch ₹140139.00. Employee: Anthony Davis.",expense
"Reimbursement: taxi ₹57371.00, lunch ₹34235.00. Employee: Matthew Griffin.",expense
TAX INVOICE - Invoice No: 42893. IGST 12 applied. Total ₹138377.00.,tax
Tax invoice 81923: GST 12% on amount ₹107312.00. Taxable value ₹20117.,tax
Tax invoice 54272: GST 18% on amount ₹51870.00. Taxable value ₹92637. Determine certainly.,tax
Expense reimbursement claim by Michelle Lawson for ₹34461.00 on 2025-06-02. Category: travel.,expense
Misc document: reference 656748. Notes: Day report alone but. Around green number something.,other
"PO #76433 confirmation: items start. Total ₹162195.00. Ship to 965 Simmons Ports Suite 219, Lake Williamhaven, WY 19125. Various woman too me develop.",purchase_order
Expense reimbursement claim by Walter Stone for ₹186286.00 on 2024-12-13. Category: travel.,expense
Misc document: reference 210632. Notes: Watch popular would its.,other
TAX INVOICE - Invoice No: 25419. IGST 0 applied. Total ₹139424.00. Government one vote.,tax
Invoice from Burgess and Sons for invoice #69662 total ₹76070.00 due on 2025-01-14. Please remit payment.,accounts_payable
Purchase Order 66716 received for vendor Bishop PLC. Qty: 77. Total: ₹113502.00.,purchase_order
Invoice from Soto and Sons for invoice #13641 total ₹139504.00 due on 2025-02-19. Please remit payment.,accounts_payable
Purchase Order 89473 received for vendor Arnold-Williams. Qty: 59. Total: ₹15456.00.,purchase_order
Expense reimbursement claim by Barbara Cook for ₹16389.00 on 2025-04-13. Category: travel.,expense
Tax invoice 34181: GST 18% on amount ₹90684.00. Taxable value ₹63692. Agency especially challenge fine job with national address discussion easy.,tax
Tax invoice 1703: GST 18% on amount ₹121009.00. Taxable value ₹75702.,tax
Payment request - Invoice 91815; Amount: ₹72894.00. For Accounts Payable processing.,accounts_payable
Credit note 2973 issued to Turner PLC for amount ₹184549.00.,other
Purchase Order 51916 received for vendor Smith-Anderson. Qty: 23. Total: ₹179608.00.,purchase_order
Misc document: reference 977283. Notes: Else store drive much age partner system.,other
Expense reimbursement claim by Johnny James for ₹77326.00 on 2025-02-05. Category: travel.,expense
Invoice from Robinson Group for invoice #85823 total ₹150062.00 due on 2025-03-02. Please remit payment.,accounts_payable
Misc document: reference 110785. Notes: Teach near open defense project ever bar. Million there nearly would product.,other
Tax invoice 66647: GST 12% on amount ₹118876.00. Taxable value ₹62536.,tax
Invoice from Burch-Murray for invoice #8491 total ₹187909.00 due on 2025-07-15. Please remit payment.,accounts_payable
Invoice from Perez Group for invoice #75008 total ₹60688.00 due on 2025-04-19. Please remit payment. Century decide base against to.,accounts_payable
"Purchase Order 82283 received for vendor Flores, Webb and Beasley. Qty: 10. Total: ₹109447.00.",purchase_order
Tax invoice 92964: GST 18% on amount ₹29554.00. Taxable value ₹28111.,tax
"PO #56308 confirmation: items always. Total ₹183930.00. Ship to USNS Little, FPO AE 96969.",purchase_order
"PO #20884 confirmation: items nation. Total ₹17900.00. Ship to 5988 Kevin Run, North Tina, VI 84862.",purchase_order
Tax invoice 56947: GST 12% on amount ₹123148.00. Taxable value ₹98512.,tax
Misc document: reference 895797. Notes: Next young form baby itself.,other
TAX INVOICE - Invoice No: 70596. IGST 0 applied. Total ₹26357.00. Fly while defense political happen claim.,tax
Tax invoice 20820: GST 18% on amount ₹72719.00. Taxable value ₹64591. Everybody discussion head forward fish.,tax
"Reimbursement: taxi ₹138014.00, lunch ₹119736.00. Employee: Matthew Lopez.",expense
"Invoice from Torres, Cruz and Castro for invoice #60348 total ₹146642.00 due on 2025-11-04. Please remit payment.",accounts_payable
Tax invoice 77997: GST 5% on amount ₹148197.00. Taxable value ₹87855.,tax
Tax invoice 13297: GST 5% on amount ₹68814.00. Taxable value ₹5556.,tax
Expense reimbursement claim by Tara Lewis for ₹62390.00 on 2025-02-22. Category: travel.,expense
Credit note 5768 issued to Rogers Inc for amount ₹124653.00.,other
Purchase Order 24948 received for vendor Moore PLC. Qty: 59. Total: ₹143139.00.,purchase_order
"Invoice from Jones, Wilson and Hunter for invoice #5038 total ₹32001.00 due on 2025-03-16. Please remit payment. In note many.",accounts_payable
"PO #15525 confirmation: items television. Total ₹154583.00. Ship to 55984 Lewis Dale, West Jeremy, AK 42040.",purchase_order
"Reimbursement: taxi ₹115495.00, lunch ₹90978.00. Employee: Shaun Moore.",expense
Misc document: reference 614661. Notes: Day hot lawyer must.,other
"PO #70882 confirmation: items high; quickly; study; event. Total ₹28675.00. Ship to 1388 Clark Row Apt. 556, Port Yeseniaville, AS 91269. Quite imagine today everything than.",purchase_order
Invoice from Stewart-Gardner for invoice #9891 total ₹128695.00 due on 2025-04-27. Please remit payment.,accounts_payable
Tax invoice 13589: GST 12% on amount ₹7825.00. Taxable value ₹58660.,tax
Misc document: reference 644923. Notes: Fly those song still impact grow require. Remain up party.,other
Credit note 494 issued to Lee Group for amount ₹33887.00. Assume itself actually read old hand represent third gas.,other
"PO #75673 confirmation: items allow; change; level; certain. Total ₹25171.00. Ship to 2262 Joshua Path, North Lisamouth, KY 44142. Discuss during sure owner decade thought.",purchase_order
"Purchase Order 16123 received for vendor Cook, Anderson and Johnson. Qty: 25. Total: ₹44387.00. Develop cold.",purchase_order
Tax invoice 93590: GST 12% on amount ₹173590.00. Taxable value ₹63966.,tax
"Purchase Order 24846 received for vendor Shields, Stephens and Thompson. Qty: 65. Total: ₹188551.00. Bed exactly provide degree.",purchase_order
Payment request - Invoice 18622; Amount: ₹48883.00. For Accounts Payable processing.,accounts_payable
Misc document: reference 941595. Notes: Standard now wish purpose recently billion within. Executive similar choice.,other
Expense reimbursement claim by Warren Jones for ₹194185.00 on 2025-10-20. Category: travel.,expense
Payment request - Invoice 20274; Amount: ₹199589.00. For Accounts Payable processing. Item him similar.,accounts_payable
TAX INVOICE - Invoice No: 63341. IGST 0 applied. Total ₹184511.00.,tax
Expense reimbursement claim by Luis Williams for ₹113436.00 on 2025-12-02. Category: travel. Himself ever remember very street wait.,expense
Payment request - Invoice 75727; Amount: ₹166954.00. For Accounts Payable processing.,accounts_payable
"Credit note 1779 issued to Reese, Anderson and Kelly for amount ₹155490.00.",other
Tax invoice 51751: GST 5% on amount ₹170932.00. Taxable value ₹51920.,tax
"Credit note 6967 issued to Thompson, Mcclain and Wood for amount ₹26915.00.",other
Purchase Order 16808 received for vendor Payne Inc. Qty: 7. Total: ₹167546.00. Fact home.,purchase_order
Invoice from Sanchez PLC for invoice #54541 total ₹26456.00 due on 2025-02-28. Please remit payment.,accounts_payable
Misc document: reference 510300. Notes: Maybe education serve on style property exist.,other
"Credit note 2461 issued to Thompson, Carr and Jackson for amount ₹102731.00.",other
Misc document: reference 189785. Notes: His rate bit class threat couple.,other
TAX INVOICE - Invoice No: 23181. IGST 5 applied. Total ₹99394.00.,tax
Expense reimbursement claim by Andrew Ramirez for ₹178292.00 on 2025-01-19. Category: travel.,expense
"Reimbursement: taxi ₹54942.00, lunch ₹39554.00. Employee: Robert Ramirez.",expense
Invoice from Stein-Bennett for invoice #91855 total ₹2073.00 due on 2025-01-13. Please remit payment. Worry statement near apply before common.,accounts_payable
"Invoice from Evans, Terry and Collins for invoice #56957 total ₹44284.00 due on 2025-09-13. Please remit payment. Level clear.",accounts_payable
Purchase Order 98542 received for vendor Soto-Anderson. Qty: 28. Total: ₹86400.00.,purchase_order
Misc document: reference 599042. Notes: Stay writer institution note create.,other
Expense reimbursement claim by Daryl Williams for ₹41906.00 on 2025-01-10. Category: travel. Evidence great yourself read fly before majority several by case.,expense
Invoice from Sanchez-Ellis for invoice #45998 total ₹43268.00 due on 2025-08-12. Please remit payment.,accounts_payable
Tax invoice 3516: GST 18% on amount ₹16675.00. Taxable value ₹24397.,tax
Expense reimbursement claim by Anthony Casey for ₹37404.00 on 2025-08-26. Category: travel.,expense
Payment request - Invoice 63271; Amount: ₹14464.00. For Accounts Payable processing.,accounts_payable
TAX INVOICE - Invoice No: 97302. IGST 5 applied. Total ₹180334.00. Blue thank.,tax
Payment request - Invoice 86568; Amount: ₹70328.00. For Accounts Payable processing.,accounts_payable
Misc document: reference 117526. Notes: Chance do half show. Product knowledge treat.,other
Credit note 6282 issued to Miller and Sons for amount ₹16461.00.,other
"Credit note 2077 issued to Thompson, Hammond and Davis for amount ₹21868.00.",other
"Reimbursement: taxi ₹163444.00, lunch ₹54126.00. Employee: Bryan Murphy.",expense
Payment request - Invoice 38265; Amount: ₹103426.00. For Accounts Payable processing.,accounts_payable
Tax invoice 51307: GST 18% on amount ₹171044.00. Taxable value ₹61789. Party heavy music others practice.,tax
"Invoice from Gregory, Rhodes and Cook for invoice #79360 total ₹118136.00 due on 2025-06-06. Please remit payment.",accounts_payable
Credit note 5820 issued to Galvan-Patton for amount ₹88641.00.,other
Misc document: reference 999144. Notes: Drive want herself.,other
Misc document: reference 700907. Notes: Agreement first too note effect who point happy. Protect wall hotel top certainly.,other
Purchase Order 74996 received for vendor Terrell Ltd. Qty: 35. Total: ₹10348.00. Individual card court.,purchase_order
Tax invoice 98255: GST 12% on amount ₹164500.00. Taxable value ₹44280.,tax
Purchase Order 62977 received for vendor Fowler PLC. Qty: 79. Total: ₹108742.00. Free few.,purchase_order
"PO #11090 confirmation: items store; example; sell; stay. Total ₹33611.00. Ship to 0319 Brian Stream Suite 146, Steventon, NH 43163.",purchase_order
Credit note 9951 issued to Brown and Sons for amount ₹110430.00. Commercial face mind yard poor couple.,other
Misc document: reference 532718. Notes: Training sure structure expert eye.,other
"PO #79603 confirmation: items be; medical. Total ₹95862.00. Ship to 57371 Mike Fields, Port Andretown, NH 15590.",purchase_order
Expense reimbursement claim by Christopher Graves for ₹128682.00 on 2025-03-04. Category: travel.,expense
"Invoice from Lang, Greene and Garcia for invoice #85955 total ₹35524.00 due on 2025-09-26. Please remit payment.",accounts_payable
"Reimbursement: taxi ₹157824.00, lunch ₹68651.00. Employee: Thomas Moore.",expense
"Credit note 9991 issued to Walker, Price and Alvarez for amount ₹108264.00.",other
TAX INVOICE - Invoice No: 4254. IGST 18 applied. Total ₹27722.00.,tax
Purchase Order 65892 received for vendor Jones LLC. Qty: 13. Total: ₹130096.00. Draw draw three prove.,purchase_order
Credit note 6465 issued to Turner-Arroyo for amount ₹9527.00.,other
Invoice from Schultz-Parker for invoice #50370 total ₹137463.00 due on 2025-03-25. Please remit payment.,accounts_payable
"Reimbursement: taxi ₹22386.00, lunch ₹59997.00. Employee: Joseph Robertson. Whole edge gun product look.",expense
Credit note 763 issued to Turner-Martin for amount ₹101583.00. Best capital.,other
Payment request - Invoice 37565; Amount: ₹9908.00. For Accounts Payable processing.,accounts_payable
Tax invoice 92725: GST 18% on amount ₹125042.00. Taxable value ₹1247.,tax
Payment request - Invoice 60200; Amount: ₹68397.00. For Accounts Payable processing. Respond now soldier.,accounts_payable
"Purchase Order 61946 received for vendor Anderson, Lewis and Sanchez. Qty: 29. Total: ₹152323.00. Seek threat production Democrat several it positive tonight.",purchase_order
Payment request - Invoice 4201; Amount: ₹90303.00. For Accounts Payable processing.,accounts_payable
"Purchase Order 78093 received for vendor Hernandez, Smith and Warner. Qty: 78. Total: ₹173130.00. Speech official somebody manage major color.",purchase_order
Credit note 9399 issued to Stafford Ltd for amount ₹126012.00.,other
TAX INVOICE - Invoice No: 74196. IGST 5 applied. Total ₹99777.00.,tax
"PO #19253 confirmation: items detail; life; reduce; over. Total ₹1075.00. Ship to PSC 8744, Box 7461, APO AA 39315.",purchase_order
Tax invoice 3139: GST 18% on amount ₹10249.00. Taxable value ₹20596.,tax
"PO #36840 confirmation: items economic; stuff; range. Total ₹41930.00. Ship to 48682 Sullivan Circles Suite 012, Clarkchester, AL 05219. Conference establish recent station force.",purchase_order
TAX INVOICE - Invoice No: 30923. IGST 5 applied. Total ₹195438.00. Fine other of skin other.,tax
Purchase Order 77773 received for vendor Thompson Ltd. Qty: 87. Total: ₹25277.00.,purchase_order
Payment request - Invoice 44318; Amount: ₹11587.00. For Accounts Payable processing.,accounts_payable
Payment request - Invoice 4755; Amount: ₹169671.00. For Accounts Payable processing.,accounts_payable
"PO #56671 confirmation: items back. Total ₹101536.00. Ship to 597 Kelsey Cove, New Johntown, NE 19207.",purchase_order
Invoice from Willis-Le for invoice #47971 total ₹183688.00 due on 2025-10-31. Please remit payment.,accounts_payable
Payment request - Invoice 96986; Amount: ₹179057.00. For Accounts Payable processing.,accounts_payable
Payment request - Invoice 89094; Amount: ₹74543.00. For Accounts Payable processing.,accounts_payable
Misc document: reference 671590. Notes: Their along under life here.,other
Invoice from Johnson LLC for invoice #86942 total ₹15524.00 due on 2025-01-25. Please remit payment.,accounts_payable
Payment request - Invoice 13817; Amount: ₹20953.00. For Accounts Payable processing.,accounts_payable
"Purchase Order 28027 received for vendor West, Saunders and Bates. Qty: 91. Total: ₹174876.00. Interest data practice.",purchase_order
Purchase Order 18180 received for vendor Hodges Group. Qty: 7. Total: ₹190367.00.,purchase_order
Payment request - Invoice 57373; Amount: ₹156428.00. For Accounts Payable processing.,accounts_payable
Payment request - Invoice 19527; Amount: ₹131030.00. For Accounts Payable processing. Other fly at economy resource few pay mention goal.,accounts_payable
Expense reimbursement claim by Charles Griffin for ₹93266.00 on 2025-10-09. Category: travel. Owner environment.,expense
Payment request - Invoice 65807; Amount: ₹7076.00. For Accounts Payable processing.,accounts_payable
Credit note 8855 issued to Long LLC for amount ₹55939.00.,other
"PO #86401 confirmation: items just; media. Total ₹128725.00. Ship to 4947 Macias Rapids Apt. 470, South Jessicamouth, WA 19537.",purchase_order
"PO #10593 confirmation: items worry; society. Total ₹186830.00. Ship to 1550 Joe Center, Port Jasmine, IA 88063. Student radio difficult former phone control.",purchase_order
TAX INVOICE - Invoice No: 35254. IGST 0 applied. Total ₹69793.00.,tax
"Reimbursement: taxi ₹30786.00, lunch ₹154978.00. Employee: Randy Horne.",expense
"Reimbursement: taxi ₹38160.00, lunch ₹142024.00. Employee: Amanda Rogers.",expense
"Reimbursement: taxi ₹23521.00, lunch ₹172178.00. Employee: Anne Waters.",expense
"PO #92274 confirmation: items owner; know. Total ₹2688.00. Ship to Unit 2044 Box 6745, DPO AP 29007.",purchase_order
TAX INVOICE - Invoice No: 81185. IGST 12 applied. Total ₹61389.00. Account style majority.,tax
"Reimbursement: taxi ₹183053.00, lunch ₹94930.00. Employee: Alison Smith.",expense
Tax invoice 43486: GST 5% on amount ₹35007.00. Taxable value ₹34696.,tax
Expense reimbursement claim by John Lewis for ₹108111.00 on 2025-08-23. Category: travel.,expense
Misc document: reference 399641. Notes: Public exactly card statement.,other
Tax invoice 66737: GST 5% on amount ₹54949.00. Taxable value ₹76912.,tax
Purchase Order 41792 received for vendor Stevens-Sullivan. Qty: 37. Total: ₹122850.00.,purchase_order
Purchase Order 58760 received for vendor Rosario-Wilson. Qty: 50. Total: ₹83905.00.,purchase_order
"Reimbursement: taxi ₹143086.00, lunch ₹8576.00. Employee: Mark Clark.",expense
Misc document: reference 589773. Notes: Agent notice member artist because rate.,other
"PO #15906 confirmation: items thought; commercial. Total ₹163657.00. Ship to 2640 Gerald Estates Suite 277, Sethville, ND 84016. Perhaps manage former.",purchase_order
Purchase Order 23072 received for vendor Williams-Weaver. Qty: 88. Total: ₹191083.00.,purchase_order
Tax invoice 74914: GST 12% on amount ₹193360.00. Taxable value ₹64388.,tax
TAX INVOICE - Invoice No: 22552. IGST 12 applied. Total ₹65839.00.,tax
Credit note 9391 issued to Murphy-Tanner for amount ₹23382.00.,other
"Purchase Order 60843 received for vendor Porter, Roach and Hutchinson. Qty: 43. Total: ₹183885.00.",purchase_order
"PO #70819 confirmation: items election. Total ₹139931.00. Ship to 765 Pierce Shoal Apt. 821, Drakeville, FL 56281. Computer pass allow fact Congress affect.",purchase_order
Tax invoice 8422: GST 18% on amount ₹81738.00. Taxable value ₹9511. System none great board could hear.,tax
"Reimbursement: taxi ₹16179.00, lunch ₹150413.00. Employee: Chris Elliott.",expense
Credit note 3435 issued to Mendoza-Wright for amount ₹79697.00. Style network yourself despite oil drop go.,other
Tax invoice 68014: GST 5% on amount ₹37613.00. Taxable value ₹79640.,tax
"Credit note 6397 issued to Lowe, Garcia and Santana for amount ₹31888.00.",other
"PO #58708 confirmation: items radio; often; pretty. Total ₹49659.00. Ship to 7206 Phyllis Center Apt. 035, Burgessstad, FL 58452.",purchase_order
Misc document: reference 843833. Notes: Sister off later stop various what.,other
Misc document: reference 965544. Notes: Myself hit that type.,other
"PO #94255 confirmation: items might. Total ₹159957.00. Ship to PSC 4502, Box 3478, APO AE 82933. Realize popular reflect level pay price.",purchase_order
"Purchase Order 28224 received for vendor Gilbert, Roberts and Browning. Qty: 59. Total: ₹1219.00.",purchase_order
Purchase Order 64200 received for vendor Gray-Peters. Qty: 12. Total: ₹40678.00.,purchase_order
TAX INVOICE - Invoice No: 24717. IGST 0 applied. Total ₹187139.00.,tax
"Reimbursement: taxi ₹182807.00, lunch ₹192037.00. Employee: Michael Gamble.",expense
Invoice from Vega LLC for invoice #52061 total ₹155768.00 due on 2025-11-17. Please remit payment.,accounts_payable
"PO #99744 confirmation: items she; it. Total ₹143955.00. Ship to 521 Kevin Parkways Apt. 148, New Ryanchester, VA 24463.",purchase_order
Invoice from Vargas LLC for invoice #63332 total ₹74375.00 due on 2025-05-22. Please remit payment. Everyone suggest measure ability position.,accounts_payable
Tax invoice 70221: GST 18% on amount ₹147585.00. Taxable value ₹62234. Form hand.,tax
"PO #31763 confirmation: items company. Total ₹71282.00. Ship to 70450 Molina Brooks Apt. 775, Nicoleport, WA 05915. Information hand hot technology continue near day watch.",purchase_order
"Reimbursement: taxi ₹72794.00, lunch ₹155513.00. Employee: Matthew Ford.",expense
Misc document: reference 784414. Notes: Fine hear fund second green skin when.,other
Tax invoice 74377: GST 12% on amount ₹165356.00. Taxable value ₹51097. Fast material admit option.,tax
Purchase Order 80222 received for vendor Roberts LLC. Qty: 94. Total: ₹75588.00.,purchase_order
Tax invoice 68638: GST 12% on amount ₹115195.00. Taxable value ₹90562.,tax
Tax invoice 63251: GST 5% on amount ₹172256.00. Taxable value ₹33903.,tax
"Reimbursement: taxi ₹33346.00, lunch ₹119036.00. Employee: John Oneal DDS. Several next north accept add similar heavy organization newspaper management.",expense
Tax invoice 39001: GST 5% on amount ₹12010.00. Taxable value ₹86182.,tax
"PO #64915 confirmation: items young. Total ₹36704.00. Ship to 40694 Clark Gateway Suite 601, Port Clintonborough, MO 71255.",purchase_order
Invoice from Norris-Winters for invoice #73625 total ₹114173.00 due on 2024-12-09. Please remit payment.,accounts_payable
Payment request - Invoice 42640; Amount: ₹153572.00. For Accounts Payable processing. Be there tax.,accounts_payable
Expense reimbursement claim by Eric Williams for ₹6279.00 on 2024-12-17. Category: travel.,expense
Credit note 4723 issued to Bass-Gonzalez for amount ₹17236.00.,other
"Reimbursement: taxi ₹91703.00, lunch ₹164601.00. Employee: Angelica Martinez.",expense
"Purchase Order 31979 received for vendor Deleon, Ford and Phillips. Qty: 61. Total: ₹32632.00. Audience concern agency serious trouble office sea sound.",purchase_order
"Reimbursement: taxi ₹69164.00, lunch ₹21116.00. Employee: Nicholas Contreras. Paper theory wide car economy.",expense
TAX INVOICE - Invoice No: 65563. IGST 5 applied. Total ₹126830.00.,tax
"Credit note 9325 issued to Baker, Abbott and Mack for amount ₹189329.00. Around year how less.",other
